depth	min	max	median	mean
0	6965	7225	7102	7098
0.5	6965	7225	7102	7098
1	6965	7225	7102	7099
1.5	6965	7225	7102	7099
2	6965	7225	7102	7099
2.5	6965	7225	7102	7099
3	6966	7225	7102	7099
3.5	6966	7226	7102	7099
4	6966	7226	7102	7099
4.5	6966	7226	7102	7099
5	6966	7226	7103	7099
5.5	6966	7226	7103	7099
6	6966	7226	7103	7100
6.5	6966	7226	7103	7100
7	6966	7226	7103	7100
7.5	6966	7226	7103	7100
8	6967	7226	7103	7100
8.5	6967	7227	7103	7100
9	6967	7227	7103	7100
9.5	6967	7227	7103	7100
10	6967	7227	7103	7100
10.5	6967	7227	7104	7100
11	6967	7227	7104	7101
11.5	6967	7227	7104	7101
12	6967	7227	7104	7101
12.5	6967	7227	7104	7101
13	6967	7227	7104	7101
13.5	6967	7228	7104	7101
14	6967	7228	7104	7101
14.5	6968	7228	7104	7101
15	6968	7228	7104	7101
15.5	6968	7228	7105	7101
16	6968	7228	7105	7102
16.5	6968	7228	7105	7102
17	6968	7228	7105	7102
17.5	6968	7228	7105	7102
18	6968	7228	7105	7102
18.5	6968	7228	7105	7102
19	6968	7228	7105	7102
19.5	6968	7229	7105	7102
20	6968	7229	7105	7102
20.5	6969	7229	7106	7102
21	6969	7229	7106	7103
21.5	6969	7229	7106	7103
22	6969	7229	7106	7103
22.5	6969	7229	7106	7103
23	6969	7229	7106	7103
23.5	6970	7229	7106	7103
24	6970	7229	7106	7103
24.5	6970	7230	7106	7103
25	6970	7230	7106	7103
25.5	6970	7230	7107	7103
26	6970	7230	7107	7104
26.5	6970	7230	7107	7104
27	6971	7230	7107	7104
27.5	6971	7230	7107	7104
28	6971	7230	7107	7104
28.5	6971	7230	7107	7104
29	6971	7230	7107	7104
29.5	6971	7230	7108	7104
30	6971	7231	7108	7104
30.5	6971	7231	7108	7104
31	6971	7231	7108	7105
31.5	6972	7231	7108	7105
32	6972	7231	7108	7105
32.5	6972	7231	7108	7105
33	6972	7231	7108	7105
33.5	6972	7232	7108	7105
34	6972	7232	7108	7105
34.5	6972	7232	7109	7105
35	6972	7232	7109	7105
35.5	6972	7232	7109	7105
36	6973	7232	7109	7106
36.5	6973	7232	7109	7106
37	6973	7232	7109	7106
37.5	6973	7232	7109	7106
38	6973	7232	7109	7106
38.5	6973	7233	7109	7106
39	6973	7233	7109	7106
39.5	6973	7233	7110	7106
40	6974	7233	7110	7106
40.5	6974	7233	7110	7106
41	6974	7233	7110	7107
41.5	6974	7233	7110	7107
42	6974	7233	7110	7107
42.5	6974	7233	7110	7107
43	6974	7233	7110	7107
43.5	6974	7234	7110	7107
44	6974	7234	7110	7107
44.5	6974	7234	7111	7107
45	6975	7234	7111	7107
45.5	6975	7234	7111	7107
46	6975	7234	7111	7108
46.5	6975	7234	7111	7108
47	6975	7234	7111	7108
47.5	6975	7234	7111	7108
48	6975	7234	7111	7108
48.5	6975	7234	7111	7108
49	6975	7234	7111	7108
49.5	6975	7235	7112	7108
50	6975	7235	7112	7108
50.5	6975	7235	7112	7108
51	6976	7235	7112	7109
51.5	6976	7235	7112	7109
52	6976	7235	7112	7109
52.5	6976	7235	7112	7109
53	6976	7235	7112	7109
53.5	6976	7235	7112	7109
54	6976	7236	7112	7109
54.5	6976	7236	7113	7109
55	6976	7236	7113	7109
55.5	6976	7236	7113	7109
56	6977	7236	7113	7110
56.5	6977	7236	7113	7110
57	6977	7236	7113	7110
57.5	6977	7236	7113	7110
58	6977	7237	7113	7110
58.5	6977	7237	7113	7110
59	6977	7237	7113	7110
59.5	6977	7237	7113	7110
60	6977	7237	7114	7110
60.5	6977	7237	7114	7110
61	6977	7237	7114	7111
61.5	6978	7237	7114	7111
62	6978	7237	7114	7111
62.5	6978	7238	7114	7111
63	6978	7238	7114	7111
63.5	6978	7238	7114	7111
64	6978	7238	7114	7111
64.5	6978	7238	7114	7111
65	6978	7238	7115	7111
65.5	6978	7238	7115	7111
66	6978	7238	7115	7112
66.5	6978	7238	7115	7112
67	6978	7238	7115	7112
67.5	6979	7238	7115	7112
68	6979	7238	7115	7112
68.5	6979	7239	7115	7112
69	6979	7239	7115	7112
69.5	6979	7239	7116	7112
70	6979	7239	7116	7112
70.5	6979	7239	7116	7112
71	6979	7239	7116	7113
71.5	6979	7239	7116	7113
72	6979	7240	7116	7113
72.5	6980	7240	7116	7113
73	6980	7240	7116	7113
73.5	6980	7240	7116	7113
74	6980	7240	7116	7113
74.5	6980	7240	7117	7113
75	6980	7240	7117	7113
75.5	6980	7240	7117	7114
76	6980	7240	7117	7114
76.5	6981	7241	7117	7114
77	6981	7241	7117	7114
77.5	6981	7241	7117	7114
78	6981	7241	7117	7114
78.5	6981	7241	7117	7114
79	6981	7241	7117	7114
79.5	6981	7241	7118	7114
80	6981	7241	7118	7114
80.5	6982	7241	7118	7115
81	6982	7241	7118	7115
81.5	6982	7241	7118	7115
82	6982	7241	7118	7115
82.5	6982	7241	7118	7115
83	6982	7241	7118	7115
83.5	6983	7242	7118	7115
84	6983	7242	7119	7115
84.5	6983	7242	7119	7115
85	6983	7242	7119	7115
85.5	6983	7242	7119	7116
86	6983	7242	7119	7116
86.5	6983	7242	7119	7116
87	6984	7243	7119	7116
87.5	6984	7243	7119	7116
88	6984	7243	7119	7116
88.5	6984	7243	7120	7116
89	6984	7243	7120	7116
89.5	6984	7243	7120	7116
90	6984	7243	7120	7116
90.5	6984	7243	7120	7117
91	6984	7244	7120	7117
91.5	6985	7244	7120	7117
92	6985	7244	7120	7117
92.5	6985	7244	7120	7117
93	6985	7244	7120	7117
