depth	min	max	median	mean
15	6898	7623	7323	7310
15.5	6898	7624	7323	7310
16	6898	7624	7323	7310
16.5	6898	7624	7323	7310
17	6898	7624	7323	7310
17.5	6898	7624	7323	7310
18	6898	7624	7323	7310
18.5	6898	7624	7323	7310
19	6898	7624	7323	7310
19.5	6898	7624	7323	7311
20	6898	7624	7323	7311
20.5	6898	7624	7324	7311
21	6898	7624	7324	7311
21.5	6898	7624	7324	7311
22	6898	7624	7324	7311
22.5	6898	7624	7324	7311
23	6898	7624	7324	7311
23.5	6898	7624	7324	7311
24	6898	7624	7324	7311
24.5	6899	7624	7324	7311
25	6899	7624	7324	7311
25.5	6899	7624	7324	7311
26	6899	7624	7324	7311
26.5	6899	7624	7324	7311
27	6899	7624	7324	7311
27.5	6899	7625	7324	7311
28	6899	7625	7324	7311
28.5	6899	7625	7324	7311
29	6899	7625	7325	7311
29.5	6899	7625	7325	7312
30	6899	7625	7325	7312
30.5	6899	7625	7325	7312
31	6899	7625	7325	7312
31.5	6899	7625	7325	7312
32	6899	7625	7325	7312
32.5	6899	7625	7325	7312
33	6899	7625	7325	7312
33.5	6899	7625	7325	7312
34	6899	7625	7325	7312
34.5	6899	7625	7325	7312
35	6900	7625	7325	7312
35.5	6900	7625	7325	7312
36	6900	7625	7325	7312
36.5	6900	7625	7325	7312
37	6900	7625	7325	7312
37.5	6900	7625	7325	7312
38	6900	7625	7326	7312
38.5	6900	7625	7326	7312
39	6900	7626	7326	7312
39.5	6900	7626	7326	7313
40	6900	7626	7326	7313
40.5	6900	7626	7326	7313
41	6900	7626	7326	7313
41.5	6900	7626	7326	7313
42	6901	7626	7326	7313
42.5	6901	7626	7326	7313
43	6901	7626	7326	7313
43.5	6901	7626	7326	7313
44	6901	7626	7326	7313
44.5	6901	7626	7326	7313
45	6901	7626	7326	7313
