depth(-15)	min	max	median	mean
18	7420	7640	7532	7532
18.5	7421	7641	7533	7533
19	7423	7642	7535	7534
19.5	7423	7643	7536	7535
20	7424	7644	7537	7536
20.5	7426	7645	7538	7537
21	7428	7646	7539	7538
21.5	7429	7647	7540	7539
22	7430	7648	7541	7540
22.5	7431	7650	7542	7541
23	7432	7651	7543	7542
23.5	7433	7652	7544	7543
24	7435	7653	7545	7544
24.5	7437	7653	7546	7545
25	7438	7654	7547	7546
25.5	7439	7655	7548	7547
26	7440	7656	7549	7549
26.5	7441	7657	7550	7550
27	7442	7658	7551	7551
27.5	7444	7659	7552	7552
28	7445	7660	7553	7553
28.5	7447	7661	7554	7554
29	7448	7662	7555	7555
29.5	7449	7663	7557	7556
30	7450	7663	7558	7557
30.5	7451	7664	7559	7559
31	7452	7665	7560	7560
31.5	7453	7667	7561	7561
32	7455	7668	7562	7562
32.5	7456	7669	7563	7563
33	7457	7670	7564	7564
33.5	7459	7671	7566	7565
34	7461	7672	7567	7567
34.5	7462	7673	7568	7568
35	7463	7674	7569	7569
35.5	7465	7675	7570	7570
36	7466	7676	7572	7571
36.5	7467	7677	7573	7572
37	7468	7678	7574	7574
37.5	7469	7680	7575	7575
38	7470	7681	7576	7576
38.5	7472	7681	7577	7577
39	7473	7682	7578	7578
39.5	7474	7683	7579	7579
40	7475	7684	7580	7580
40.5	7476	7684	7581	7581
41	7477	7686	7583	7583
41.5	7478	7687	7584	7584
42	7479	7688	7585	7585
42.5	7480	7689	7586	7586
43	7482	7690	7587	7587
43.5	7483	7691	7588	7588
44	7485	7692	7589	7589
44.5	7487	7693	7590	7590
45	7488	7694	7591	7591
45.5	7489	7695	7593	7593
46	7490	7696	7594	7594
46.5	7492	7697	7595	7595
47	7493	7698	7596	7596
47.5	7494	7699	7597	7597
48	7495	7700	7598	7598
48.5	7496	7701	7600	7599
49	7498	7702	7601	7601
49.5	7499	7703	7602	7602
50	7500	7704	7603	7603
50.5	7501	7706	7604	7604
51	7502	7706	7605	7605
51.5	7504	7707	7606	7606
52	7505	7708	7607	7607
52.5	7506	7709	7608	7608
53	7507	7710	7609	7610
53.5	7508	7711	7611	7611
54	7510	7712	7612	7612
54.5	7510	7713	7613	7613
55	7512	7714	7614	7614
55.5	7513	7715	7615	7615
56	7515	7716	7616	7616
56.5	7516	7718	7617	7618
57	7517	7719	7618	7619
57.5	7518	7719	7620	7620
58	7519	7721	7621	7621
58.5	7522	7721	7622	7622
59	7523	7722	7623	7623
59.5	7524	7723	7624	7624
60	7525	7724	7625	7625
60.5	7526	7725	7627	7627
61	7528	7727	7628	7628
61.5	7529	7728	7629	7629
62	7530	7729	7630	7630
62.5	7532	7730	7631	7631
63	7532	7731	7632	7632
63.5	7534	7732	7634	7633
64	7535	7733	7635	7635
64.5	7537	7734	7636	7636
65	7538	7735	7637	7637
65.5	7539	7736	7638	7638
66	7540	7737	7639	7639
66.5	7541	7738	7641	7640
67	7543	7739	7642	7642
67.5	7544	7740	7643	7643
68	7545	7741	7644	7644
68.5	7546	7741	7645	7645
69	7548	7743	7647	7646
69.5	7549	7743	7648	7647
70	7550	7745	7649	7648
70.5	7551	7746	7650	7650
71	7552	7747	7651	7651
71.5	7553	7748	7652	7652
72	7554	7748	7653	7653
72.5	7556	7750	7654	7654
73	7557	7751	7656	7655
73.5	7558	7752	7657	7656
74	7559	7753	7658	7657
74.5	7561	7754	7659	7659
75	7562	7755	7660	7660
75.5	7563	7756	7661	7661
76	7564	7757	7662	7662
76.5	7565	7758	7663	7663
77	7566	7760	7664	7664
77.5	7568	7760	7665	7665
78	7568	7761	7666	7666
78.5	7569	7762	7667	7667
79	7571	7763	7668	7668
79.5	7572	7764	7670	7670
80	7573	7765	7670	7671
80.5	7574	7767	7672	7672
81	7575	7767	7673	7673
81.5	7576	7769	7674	7674
82	7578	7770	7675	7675
82.5	7579	7771	7676	7676
83	7579	7772	7677	7677
83.5	7581	7773	7678	7678
84	7582	7774	7679	7679
84.5	7584	7775	7681	7680
85	7585	7776	7682	7681
85.5	7586	7777	7683	7683
86	7588	7778	7684	7684
86.5	7589	7779	7685	7685
87	7590	7780	7686	7686
87.5	7591	7781	7687	7687
88	7592	7782	7688	7688
88.5	7593	7783	7689	7689
89	7594	7784	7690	7690
