Core,depth,min,max,median,mean
CY01,5,6966,7226,7103,7099
CY01,10,6967,7227,7103,7100
CY01,15,6968,7228,7104,7101
CY01,20,6968,7229,7105,7102
CY01,25,6970,7230,7106,7103
CY01,30,6971,7231,7108,7104
CY01,35,6972,7232,7109,7105
CY01,40,6974,7233,7110,7106
CY01,45,6975,7234,7111,7107
CY01,50,6975,7235,7112,7108
CY01,55,6976,7236,7113,7109
CY01,60,6977,7237,7114,7110
CY01,65,6978,7238,7115,7111
CY01,70,6979,7239,7116,7112
CY01,75,6980,7240,7117,7113
CY01,80,6981,7241,7118,7114
CY01,85,6983,7242,7119,7115
CY01,90,6984,7243,7120,7116
CY01,95,6985,7244,7120,7117
CY02,5,6477,6948,6725,6721
CY02,10,6537,6990,6773,6771
CY02,15,6603,7031,6823,6822
CY02,20,6677,7071,6871,6872
CY02,25,6720,7122,6921,6922
CY02,30,6767,7177,6971,6972
CY02,35,6812,7229,7020,7021
CY02,40,6854,7278,7069,7069
CY02,45,6899,7346,7119,7120
CY02,50,6936,7415,7168,7171
CY02,55,6976,7483,7217,7220
CY02,60,7017,7548,7264,7270
CY02,65,7056,7614,7312,7319
CY03,5,6222,6904,6599,6589
CY03,10,6283,6946,6648,6639
CY03,15,6341,6983,6698,6690
CY03,20,6409,7029,6748,6740
CY03,25,6471,7068,6798,6791
CY03,30,6529,7109,6850,6841
CY03,35,6604,7150,6900,6893
CY03,40,6661,7190,6948,6943
CY03,45,6722,7230,6998,6992
CY03,50,6768,7275,7045,7039
CY03,55,6823,7321,7093,7087
CY03,60,6872,7366,7139,7135
CY03,65,6921,7412,7186,7182
CY03,70,6969,7457,7233,7229
CY03,75,7019,7505,7281,7277
CY03,80,7070,7552,7330,7324
CY03,85,7127,7597,7376,7372
CY03,90,7179,7639,7423,7419
CY03,95,7234,7687,7470,7467
CY03,100,7280,7727,7516,7513
CY03,105,7319,7776,7556,7555
CY03,110,7362,7828,7597,7597
CY03,115,7401,7878,7637,7639
CY03,120,7440,7925,7678,7680
CY03,125,7484,7979,7718,7721
CY03,130,7523,8027,7761,7763
CY03,135,7567,8074,7802,7805
CY03,140,7605,8125,7841,7847
CY03,145,7647,8171,7881,7888
CY03,150,7685,8240,7930,7937
HA02,5,7254,7429,7342,7341
HA02,10,7260,7434,7348,7346
HA02,15,7265,7439,7352,7352
HA02,20,7270,7444,7357,7356
HA02,25,7276,7450,7362,7362
HA02,30,7280,7453,7367,7367
HA02,35,7284,7458,7372,7372
HA02,40,7290,7464,7377,7377
HA02,45,7295,7468,7382,7382
HA02,50,7301,7473,7387,7387
HA02,55,7306,7479,7392,7392
HA02,60,7312,7484,7397,7397
HA02,65,7316,7489,7402,7402
HA02,70,7321,7494,7407,7407
HA02,75,7326,7499,7412,7412
HA02,80,7331,7504,7417,7417
HA02,85,7336,7509,7422,7422
HA02,90,7341,7513,7427,7427
HA02,95,7346,7519,7432,7432
HA02,100,7351,7523,7436,7437
HA02,105,7355,7529,7442,7442
HA02,110,7360,7534,7447,7447
HA02,115,7365,7539,7452,7452
HA02,120,7369,7545,7457,7458
HA02,125,7375,7550,7462,7463
HA02,130,7381,7554,7467,7468
HA02,135,7385,7560,7472,7473
HA02,140,7390,7564,7477,7478
HA02,145,7394,7570,7483,7483
HA02,150,7398,7576,7487,7487
HA03,5,7272,7535,7407,7406
HA03,10,7283,7545,7417,7416
HA03,15,7295,7555,7427,7426
HA03,20,7304,7563,7437,7436
HA03,25,7315,7572,7447,7446
HA03,30,7326,7581,7457,7456
HA03,35,7336,7590,7467,7466
HA03,40,7346,7599,7477,7476
HA03,45,7356,7610,7487,7486
HA03,50,7367,7619,7496,7496
HA03,55,7377,7629,7506,7506
HA03,60,7388,7641,7515,7516
HA03,65,7398,7651,7526,7526
HA03,70,7409,7660,7535,7535
HA03,75,7418,7670,7545,7545
HA03,80,7429,7680,7555,7555
HA03,85,7439,7689,7565,7565
HA03,90,7449,7699,7574,7575
HA03,95,7459,7709,7584,7584
HA03,100,7468,7719,7594,7594
HA03,105,7480,7728,7604,7604
HA03,110,7490,7739,7613,7614
HA03,115,7499,7748,7623,7624
HA03,120,7512,7758,7634,7634
HA03,125,7521,7767,7643,7644
HA03,130,7531,7777,7653,7653
HA03,135,7541,7788,7662,7663
HA03,140,7551,7798,7672,7673
HA03,145,7562,7809,7683,7683
HA03,150,7572,7818,7692,7693
HA03,155,7583,7828,7703,7703
HA03,160,7592,7839,7713,7713
HA03,165,7601,7849,7723,7723
HA03,170,7611,7859,7733,7733
HA03,175,7621,7869,7743,7744
HA03,180,7631,7881,7753,7754
HA03,185,7641,7892,7763,7764
HA03,190,7651,7902,7774,7774
HA03,195,7661,7912,7784,7785
HA03,200,7669,7923,7795,7795
HA03,205,7678,7932,7805,7805
HA03,210,7680,7935,7807,7807
HA04,5,7276,7681,7468,7471
HA04,10,7304,7704,7493,7496
HA04,15,7327,7733,7519,7521
HA04,20,7353,7759,7545,7546
HA04,25,7379,7785,7570,7572
HA04,30,7405,7809,7596,7597
HA04,35,7430,7833,7620,7622
HA05,5,6976,7346,7170,7169
HA05,10,6987,7356,7180,7179
HA05,15,6998,7363,7190,7189
HA05,20,7008,7372,7200,7199
HA05,25,7019,7383,7210,7209
HA05,30,7028,7393,7220,7219
HA05,35,7038,7402,7230,7229
HA05,40,7047,7411,7241,7239
HA05,45,7056,7422,7251,7248
HA05,50,7065,7433,7261,7258
HA05,55,7075,7442,7271,7268
HA05,60,7085,7454,7281,7278
HA05,65,7097,7463,7290,7288
HA05,70,7107,7473,7300,7298
HA06,5,7191,7429,7316,7315
HA06,10,7213,7457,7340,7339
HA06,15,7238,7484,7362,7363
HA06,20,7260,7511,7386,7387
HA06,25,7284,7541,7409,7411
HA06,30,7309,7572,7435,7437
HA06,35,7328,7600,7461,7462
HA06,40,7350,7629,7487,7487
HA06,45,7373,7657,7511,7513
HA06,50,7396,7686,7538,7539
HA06,55,7418,7715,7564,7565
HA06,60,7440,7745,7590,7590
HA06,65,7464,7770,7616,7616
HA06,70,7488,7799,7641,7641
HA06,75,7511,7825,7666,7666
HA06,80,7536,7853,7692,7692
HA06,85,7558,7881,7716,7717
HA06,90,7583,7909,7743,7743
HA06,95,7607,7935,7768,7769
HA06,100,7628,7962,7793,7793
HA06,105,7648,7995,7819,7819
HA06,110,7669,8024,7843,7844
HA06,115,7692,8053,7867,7869
HA06,120,7711,8086,7893,7895
HA06,125,7730,8117,7916,7919
KS01,15,6898,7623,7323,7310
KS01,20,6898,7624,7323,7311
KS01,25,6899,7624,7324,7311
KS01,30,6899,7625,7325,7312
KS01,35,6900,7625,7325,7312
KS01,40,6900,7626,7326,7313
KS01,45,6901,7626,7326,7313
KS02,40,-42,-40,-41,-41
KS02,45,-41,-39,-40,-40
KS02,50,-41,-39,-40,-40
KS03,30,7438,7776,7613,7611
KS03,35,7462,7793,7633,7631
KS03,40,7492,7812,7657,7656
KS03,45,7521,7833,7683,7682
KS03,50,7554,7855,7708,7707
KS03,55,7578,7877,7733,7732
KS03,60,7605,7900,7757,7757
KS03,65,7630,7924,7783,7782
KS03,70,7658,7948,7808,7807
KS03,75,7686,7969,7833,7832
KS03,80,7711,7994,7859,7857
KS03,85,7735,8022,7884,7882
KS03,90,7757,8054,7908,7907
SL01,5,7292,7564,7430,7429
SL01,10,7303,7574,7439,7439
SL01,15,7313,7583,7450,7449
SL01,20,7325,7592,7460,7460
SL01,25,7334,7600,7470,7470
SL01,30,7344,7611,7480,7480
SL01,35,7355,7620,7490,7490
SL01,40,7366,7631,7501,7500
SL01,45,7376,7642,7511,7511
SL01,50,7387,7651,7521,7521
SL01,55,7397,7664,7531,7531
SL01,60,7405,7674,7541,7541
SL01,65,7416,7684,7550,7551
SL01,70,7425,7694,7561,7561
SL01,75,7435,7704,7571,7571
SL01,80,7444,7715,7581,7581
SL01,85,7454,7724,7591,7591
SL01,90,7463,7735,7601,7601
SL01,95,7465,7738,7602,7603
SL02,10,6971,7260,7123,7121
SL02,15,6999,7284,7148,7146
SL02,20,7028,7307,7174,7171
SL02,25,7057,7328,7199,7197
SL02,30,7088,7353,7224,7222
SL02,35,7121,7377,7251,7249
SL02,40,7151,7405,7278,7277
SL02,45,7181,7429,7306,7305
SL02,50,7211,7453,7334,7333
SL02,55,7242,7477,7362,7361
SL02,60,7268,7504,7387,7387
SL02,65,7292,7533,7413,7413
SL02,70,7317,7560,7439,7439
SL02,75,7342,7588,7465,7465
SL02,80,7366,7614,7490,7491
SL02,85,7393,7641,7517,7517
SL02,90,7420,7667,7543,7544
SL02,95,7447,7695,7569,7570
SL02,100,7473,7719,7596,7596
SL02,105,7499,7745,7621,7622
SL02,110,7523,7774,7645,7646
SL02,115,7543,7801,7669,7670
SL02,120,7565,7829,7693,7694
SL02,125,7586,7857,7717,7718
SL02,130,7608,7885,7741,7742
SL02,135,7632,7918,7765,7767
SL02,140,7635,7925,7770,7772
SL03,15,7244,7617,7435,7434
SL03,20,7275,7637,7460,7460
SL03,25,7303,7659,7485,7485
SL03,30,7334,7683,7510,7510
SL03,35,7364,7707,7535,7535
SL03,40,7390,7731,7560,7560
SL03,45,7418,7756,7584,7585
