Core,DepthConsolidated,Location,Unknown,Goniopora,Dipsastraea,Montipora,Porites,Echinopora,Euphyllia,Acropora,Heliopora,Fungia,Merulina,Diploastrea,Tubastraea,Astreopora,Platygyra,Echinophyllia,Hydnophora,Pachyseris,Turbinaria,Pavona,Pectinia,Oxypora,Goniastrea,Cyphastrea,Podabacia,Favites,Pseudosiderastrea,Psammocora
CY01,5,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,10,West,0,0.740004322,0.077371947,0.18262373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,15,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,25,West,0,0,0,0,0.973497531,0.026502469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,35,West,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,45,West,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,50,West,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,60,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,70,West,0.63883618,0,0,0,0,0.36116382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,80,West,0,0.098470948,0,0.383180428,0,0,0.29266055,0.154740061,0.070948012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,85,West,0.359400998,0.376594565,0,0,0,0,0,0.264004437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY01,95,West,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,5,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,10,West,0.049848943,0.950151057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,15,West,0.093971819,0.906028181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,20,West,0,0.395374624,0,0,0.604625376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,30,West,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,35,West,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,45,West,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,65,West,0,0,0,0,0,0,0,0.833730348,0,0.166269652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,5,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,15,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,20,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,25,West,0.102203469,0,0,0.280043757,0.528520081,0,0,0,0,0,0,0,0.089232693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,35,West,0.623885918,0,0,0,0,0,0,0.376114082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,40,West,0,0,0,0,0.81734104,0,0,0.18265896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,45,West,0.026368018,0,0,0,0,0,0.973631982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,50,West,0.009621765,0.129230259,0,0,0.861147976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,55,West,0.257174151,0.723110624,0,0,0,0,0,0,0.019715225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,60,West,0.339717201,0,0,0,0,0,0,0,0.019509576,0,0,0,0,0,0,0,0,0.640773224,0,0,0,0,0,0,0,0,0,0
CY03,65,West,0,0.804855842,0,0,0.039150228,0,0.15599393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,70,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,75,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,80,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,85,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,90,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,95,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,100,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,105,West,0,0.963660578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036339422,0,0,0,0,0,0,0,0,0,0
CY03,110,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,115,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,120,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,125,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,130,West,0,0.900309917,0,0,0,0,0.099690083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,135,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,140,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,145,West,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,150,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,5,West,0,0,0,0,0.71092437,0,0.28907563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,15,West,0,0,0,0,0.622086982,0,0,0,0,0.377913018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,25,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
