Core,DepthConsolidated,GrowthForm,Genus,Weight
CY-01A,5,CS,Goniopora,62.35
CY-01A,10,CM,Dipsastraea,3.58
CY-01A,10,CS,Goniopora,34.24
CY-01A,10,CF,Montipora,8.45
CY-01A,15,CM,Porites,198.46
CY-01A,25,CM,Porites,43.81
CY-01A,25,CM,Porites,127.73
CY-01A,25,CB,Echinopora,4.67
CY-01A,35,CM,Dipsastraea,118.08
CY-01A,45,CM,Dipsastraea,107.44
CY-01A,50,CM,Dipsastraea,123.52
CY-01A,60,CM,Porites,15.91
CY-01A,60,CM,Porites,134.9
CY-01A,70,CB,Echinopora,5.71
CY-01A,70,CM,Unknown,10.1
CY-01A,80,CS,Euphyllia,9.57
CY-01A,80,CB,Acropora,5.06
CY-01A,80,CB,Montipora,12.53
CY-01A,80,CS,Heliopora,2.32
CY-01A,80,CS,Goniopora,3.22
CY-01A,85,CB,Acropora,4.76
CY-01A,85,CB,Unknown,6.48
CY-01A,85,CS,Goniopora,6.79
CY-01A,95,CB,Acropora,1.9
CY-02A,5,CS,Goniopora,69.28
CY-02A,10,CM,Unknown,1.32
CY-02A,10,CS,Goniopora,25.16
CY-02A,15,CB,Unknown,8.87
CY-02A,15,CS,Goniopora,85.52
CY-02A,20,CS,Porites,38.17
CY-02A,20,CS,Goniopora,24.96
CY-02A,30,CS,Euphyllia,10.71
CY-02A,35,CB,Montipora,4.19
CY-02A,45,CB,Acropora,40.16
CY-02A,65,CMR,Fungia,3.49
CY-02A,65,CB,Acropora,17.5
HA-02A,5,CS,Euphyllia,6.88
HA-02A,5,CM,Porites,3.03
HA-02A,5,CM,Porites,13.89
HA-02A,15,CMR,Fungia,25.46
HA-02A,15,CS,Porites,41.91
HA-02A,25,CS,Porites,148.4
HA-02A,35,CS,Porites,94.58
HA-02A,40,CM,Porites,52.8
HA-02A,45,CS,Porites,58.48
HA-02A,50,CM,Porites,124.44
HA-02A,55,CS,Porites,44.27
HA-02A,55,CM,Goniopora,31.63
HA-02A,60,CS,Porites,73.64
HA-02A,60,CS,Euphyllia,5.77
HA-02A,70,CM,Porites,18.78
HA-02A,75,CM,Porites,36.57
HA-02A,75,CB,Porites,12.44
HA-02A,85,CS,Porites,51.53
HA-02A,95,CS,Porites,39.55
HA-02A,105,CS,Porites,84.29
HA-02A,105,CF,Merulina,5.33
HA-02A,C1 (106-115),CM,Diploastrea,
HA-02A,C2 (116-130),CM,Porites,
HA-02A,125,CM,Porites,69.4
HA-02A,140,CM,Porites,96.65
HA-02A,150,CS,Porites,76.52
HA-02A,150,CM,Diploastrea,94.76
HA-03A,5,CM,Unknown,13.91
HA-03A,5,CB,Tubastraea,3.5
HA-03A,10,CM,Unknown,7.69
HA-03A,10,CB,Unknown,3.57
HA-03A,10,CM,Astreopora,18.47
HA-03A,15,CM,Porites,15.55
HA-03A,20,CM,Unknown,7.02
HA-03A,20,CB,Unknown,5.28
HA-03A,25,CM,Astreopora,54.8
HA-03A,35,CS,Porites,39.43
HA-03A,45,CS,Porites,17.2
HA-03A,50,CS,Porites,14.16
HA-03A,50,CS,Porites,23.71
HA-03A,60,CS,Porites,25.99
HA-03A,65,CS,Porites,39.12
HA-03A,70,CS,Porites,17.1
HA-03A,75,CS,Porites,17.12
HA-03A,80,CS,Porites,89.94
HA-03A,90,CS,Porites,9.66
HA-03A,95,CS,Porites,30.5
HA-03A,100,CS,Porites,4.39
HA-03A,110,CS,Porites,24.53
HA-03A,110,CS,Porites,12.17
HA-03A,115,CS,Porites,17.37
HA-03A,120,CS,Porites,88.15
HA-03A,130,CS,Porites,13.57
HA-03A,130,CS,Porites,15.47
HA-03A,135,CS,Porites,8.63
HA-03A,135,CS,Porites,20.15
HA-03A,140,CS,Porites,17.57
HA-03A,145,CF,Merulina,10.12
HA-03A,150,CS,Goniopora,41.43
HA-03A,155,CF,Merulina,10
HA-03A,160,CF,Montipora,18.42
HA-03A,160,CM,Astreopora,26.43
HA-03A,165,CS,Euphyllia,33.53
HA-03A,170,CS,Euphyllia,7.13
HA-03A,170,CF,Echinopora,10.7
HA-03A,190,CS,Euphyllia,79.9
HA-03A,200,CS,Euphyllia,31.54
HA-03A,200,CS,Euphyllia,5.07
HA-03A,210,CS,Euphyllia,12.75
HA-03A,210,CB,Tubastraea,1.41
HA-03A,210,CM,Porites,13.22
HA-03A,105,CM,Porites,14.29
HA-04A,5,CM,Platygyra,10.54
HA-04A,10,CM,Platygyra,21.35
HA-04A,C3 (20-35),CM,Porites,
HA-04A,25,CM,Tubastraea,20.69
HA-04A,25,CM,Porites,14.13
SM-01A,10,CF,Echinophyllia,14.48
SM-01A,10,CF,Hydnophora,5.45
SM-01A,10,CM,Unknown,6.15
SM-01A,15,CB,Acropora,9.85
SM-01A,15,CF,Echinophyllia,2.82
SM-01A,15,CS,Montipora,50.53
SM-01A,20,CF,Hydnophora,2.56
SM-01A,20,CS,Montipora,4.92
SM-01A,35,CM,Unknown,9.88
SM-01A,45,CS,Euphyllia,18.97
SM-01A,50,CS,Euphyllia,11.35
SM-01A,55,CS,Goniopora,28.59
SM-01A,60,CF,Merulina,4.55
SM-01A,65,CS,Porites,25.28
SM-01A,75,CF,Pachyseris,6.69
SM-01A,75,CF,Montipora,10.66
SM-01A,75,CB,Porites,12.29
SM-01A,85,CM,Unknown,20.36
SM-01A,90,CF,Turbinaria,13.89
SM-01A,90,CS,Unknown,6.61
SM-01A,95,CB,Unknown,22.81
SM-01A,90,CF,Pavona,3.99
SM-01A,90,CF,Turbinaria,3.43
SM-01A,100,CM,Dipsastraea,72.73
SM-01A,105,CS,Goniopora,1.79
SM-01A,105,CM,Unknown,6.38
SM-01A,110,CS,Euphyllia,8.65
SM-01A,110,CS,Goniopora,12.5
SM-01A,110,CS,Euphyllia,46.02
SM-01A,110,CF,Montipora,3.1
SM-01A,110,CS,Unknown,7.2
SM-01A,120,CB,Acropora,5.87
SM-01A,120,CS,Unknown,13.57
SM-01A,125,CS,Goniopora,90.42
SM-01A,125,CB,Porites,9.04
SM-01A,135,CM,Dipsastraea,11.74
SM-01A,135,CB,Porites,6.06
SM-01A,135,CS,Goniopora,4.16
SM-01A,140,CM,Dipsastraea,62.39
SM-01A,145,CM,Dipsastraea,6.61
SM-01A,C4 (147-151),CM,Diploastrea,
SM-01A,C5 (151-161),CM,Porites,
SM-01A,155,CM,Porites,23.25
SM-01A,165,CM,Porites,8.25
SM-01A,165,CM,Porites,48.34
SM-01A,175,CM,Porites,35.3
SM-01A,180,CM,Dipsastraea,4.92
SM-01A,180,CM,Porites,23.34
SM-01A,180,CM,Dipsastraea,23.34
SM-01A,185,CM,Dipsastraea,23.47
SM-01A,185,CM,Porites,10.93
SM-01A,190,CM,Porites,29.32
SM-01A,190,CM,Dipsastraea,8.47
SM-01A,C6 (188-198),CM,Porites,
SM-01A,195,CM,Porites,76.95
SM-01A,200,CM,Porites,14.22
SM-01A,C7 (205-241),CM,Porites,
SM-01A,215,CM,Porites,15.89
SM-02A,15,CB,Montipora,22.65
SM-02A,15,CS,Unknown,3.73
SM-02A,25,CB,Unknown,20.48
SM-02A,30,CB,Unknown,2.76
SM-02A,35,CS,Porites,48.06
SM-02A,40,CM,Dipsastraea,28.53
SM-02A,40,CS,Porites,34.95
SM-02A,40,CM,Unknown,28.56
SM-02A,50,CB,Acropora,4.36
SM-02A,50,CB,Porites,3.75
SM-02A,55,CB,Acropora,14.7
SM-02A,65,CM,Porites,149.11
SM-02A,65,CM,Porites,46.69
SM-02A,70,CM,Porites,9.85
SM-02A,70,CB,Unknown,9.85
SM-02A,75,CM,Porites,114.41
SM-02A,80,CM,Porites,479
SM-02A,95,CM,Porites,101.39
SM-02A,100,CM,Porites,108.71
SM-02A,100,CB,Unknown,4.95
SM-03A,20,CB,Unknown,5.07
SM-03A,25,CB,Porites,27.96
SM-03A,25,CB,Unknown,3.65
SM-03A,C8 (29-37),CM,Porites,
SM-03A,40,CB,Unknown,6.1
SM-03A,40,CM,Porites,4.65
SM-03A,70,CM,Platygyra,11.85
SM-03A,C9 (73-86),CM,Platygyra,
SM-03A,85,CM,Porites,148.5
SM-03A,C10 (86-163),CM,Porites,
SM-03A,100,CM,Porites,46.61
SM-03A,125,CM,Porites,59.61
SM-03A,145,CM,Porites,49.34
SM-03A,160,CM,Porites,75.25
SM-03A,165,CM,Porites,19.35
SM-03A,C11 (171-193),CM,Porites,
SM-03A,175,CM,Porites,13.4
SM-03A,200,CM,Porites,23.14
SM-03A,C12 (200-216),CM,Porites,
SM-03A,205,CM,Porites,7.09
CY-03A,5,CM,Unknown,17.78
CY-03A,5,CM,Unknown,5.12
CY-03A,5,CM,Unknown,2.04
CY-03A,5,CM,Unknown,3.55
CY-03A,15,CB,Unknown,4.24
CY-03A,15,CB,Unknown,5.54
CY-03A,20,CM,Goniopora,101.87
CY-03A,25,CM,Porites,27.51
CY-03A,25,CM,Porites,6.31
CY-03A,25,CM,Montipora,1
CY-03A,25,CM,Montipora,1.47
CY-03A,25,CM,Montipora,14.02
CY-03A,25,CM,Montipora,1.43
CY-03A,25,CM,Unknown,1.3
CY-03A,25,CS,Unknown,1.89
CY-03A,25,CB,Unknown,1.13
CY-03A,25,CB,Unknown,2.22
CY-03A,25,CB,Tubastraea,1.01
CY-03A,25,CB,Tubastraea,0.72
CY-03A,25,CB,Tubastraea,0.88
CY-03A,25,CB,Tubastraea,0.79
CY-03A,25,CB,Tubastraea,0.63
CY-03A,25,CB,Tubastraea,0.66
CY-03A,25,CB,Tubastraea,0.61
CY-03A,25,CB,Tubastraea,0.41
CY-03A,35,CB,Acropora,2.11
CY-03A,35,CM,Unknown,0.86
CY-03A,35,CM,Unknown,1.58
CY-03A,35,CB,Unknown,1.06
CY-03A,40,CM,Porites,4.92
CY-03A,40,CM,Porites,2.15
CY-03A,40,CB,Acropora,1.58
CY-03A,45,CS,Euphyllia,68.68
CY-03A,45,CM,Unknown,1.86
CY-03A,50,CM,Porites,103.82
CY-03A,50,CS,Goniopora,12.08
CY-03A,50,CS,Goniopora,3.5
CY-03A,50,CB,Unknown,1.16
CY-03A,55,CS,Goniopora,17.81
CY-03A,55,CS,Goniopora,13.16
CY-03A,55,CS,Goniopora,2.04
CY-03A,55,CB,Unknown,3.33
CY-03A,55,CB,Unknown,3.86
CY-03A,55,CB,Unknown,2.03
CY-03A,55,CB,Unknown,0.95
CY-03A,55,CB,Unknown,0.76
CY-03A,55,CB,Unknown,0.81
CY-03A,55,CB,Heliopora,0.59
CY-03A,55,CB,Heliopora,0.31
CY-03A,60,CF,Pachyseris,17.01
CY-03A,60,CF,Pachyseris,13.12
CY-03A,60,CF,Pachyseris,1.9
CY-03A,60,CF,Pachyseris,2.52
CY-03A,60,CF,Pachyseris,1.25
CY-03A,60,CB,Unknown,10.09
CY-03A,60,CB,Unknown,7.17
CY-03A,60,CB,Unknown,0.76
CY-03A,60,CB,Unknown,0.96
CY-03A,60,CB,Heliopora,0.7
CY-03A,60,CB,Heliopora,0.39
CY-03A,65,CS,Goniopora,22.91
CY-03A,65,CS,Goniopora,3.61
CY-03A,65,CS,Euphyllia,5.14
CY-03A,65,CM,Porites,0.56
CY-03A,65,CM,Porites,0.73
CY-03A,70,CS,Goniopora,24.76
CY-03A,70,CS,Goniopora,12.63
CY-03A,70,CS,Goniopora,17.4
CY-03A,70,CS,Goniopora,7.06
CY-03A,70,CS,Goniopora,2.6
CY-03A,70,CS,Goniopora,1.1
CY-03A,75,CS,Goniopora,60.32
CY-03A,75,CS,Goniopora,43.28
CY-03A,75,CS,Goniopora,4.78
CY-03A,75,CS,Goniopora,2.55
CY-03A,80,CS,Goniopora,0.6
CY-03A,80,CS,Goniopora,1.13
CY-03A,80,CS,Goniopora,0.72
CY-03A,80,CS,Goniopora,0.41
CY-03A,85,CS,Goniopora,31.4
CY-03A,85,CS,Goniopora,10.76
CY-03A,85,CS,Goniopora,3.53
CY-03A,85,CS,Goniopora,0.55
CY-03A,90,CS,Goniopora,9.16
CY-03A,90,CS,Goniopora,5.72
CY-03A,90,CS,Goniopora,7.04
CY-03A,90,CS,Goniopora,6.86
CY-03A,90,CS,Goniopora,2.86
CY-03A,90,CS,Goniopora,1.28
CY-03A,90,CS,Goniopora,1.56
CY-03A,90,CS,Goniopora,0.65
CY-03A,95,CS,Goniopora,9.79
CY-03A,95,CS,Goniopora,1.04
CY-03A,95,CS,Goniopora,37.87
CY-03A,100,CS,Goniopora,6.37
CY-03A,100,CS,Goniopora,1.94
CY-03A,105,CS,Goniopora,47
CY-03A,105,CS,Goniopora,3.65
CY-03A,105,CF,Pachyseris,1.06
CY-03A,105,CF,Pachyseris,0.75
CY-03A,105,CF,Pachyseris,0.1
CY-03A,110,CS,Goniopora,6.28
CY-03A,110,CS,Goniopora,1.78
CY-03A,110,CS,Goniopora,0.62
CY-03A,115,CS,Goniopora,22.5
CY-03A,120,CM,Goniopora,44.07
CY-03A,125,CS,Goniopora,7.74
CY-03A,125,CS,Goniopora,5.41
CY-03A,125,CS,Goniopora,3.67
CY-03A,125,CS,Goniopora,2.99
CY-03A,130,CS,Goniopora,12.48
CY-03A,130,CS,Euphyllia,1.93
CY-03A,130,CS,Goniopora,3.35
CY-03A,130,CS,Goniopora,1.6
CY-03A,135,CS,Goniopora,11.32
CY-03A,135,CS,Goniopora,3.98
CY-03A,140,CS,Goniopora,14.4
CY-03A,140,CS,Goniopora,5.24
CY-03A,140,CS,Goniopora,2.94
CY-03A,145,CS,Goniopora,21.77
CY-03A,145,CS,Goniopora,11.2
CY-03A,145,CS,Goniopora,2.16
CY-03A,150,CM,Porites,129.75
CY-03A,C13 (128-140),CS,Goniopora,166.31
CY-03A,C14 (120-129),CS,Goniopora,100.23
HA-05A,10,CB,Unknown,0.39
HA-05A,10,CS,Porites,1.25
HA-05A,10,CB,Unknown,0.36
HA-05A,25,CF,Pachyseris,5.95
HA-05A,25,CF,Pachyseris,2.53
HA-05A,25,CF,Pachyseris,3.73
HA-05A,25,CF,Pachyseris,3.54
HA-05A,25,CF,Pectinia,1.89
HA-05A,25,CB,Acropora,0.2
HA-05A,25,CB,Montipora,1.57
HA-05A,25,CB,Heliopora,3.09
HA-05A,30,CF,Pachyseris,56.39
HA-05A,30,CF,Pachyseris,25.02
HA-05A,30,CF,Pachyseris,7.33
HA-05A,30,CF,Pachyseris,3
HA-05A,30,CF,Pachyseris,17.6
HA-05A,30,CF,Pachyseris,10.81
HA-05A,30,CF,Pachyseris,3.46
HA-05A,30,CF,Pachyseris,2.67
HA-05A,30,CF,Pachyseris,5.1
HA-05A,30,CF,Pachyseris,1.81
HA-05A,30,CF,Pachyseris,1.51
HA-05A,30,CF,Oxypora,4.41
HA-05A,30,CF,Montipora,1.74
HA-05A,35,CF,Pachyseris,10.59
HA-05A,35,CF,Pachyseris,3.51
HA-05A,35,CF,Pachyseris,3.43
HA-05A,35,CF,Pachyseris,1
HA-05A,35,CF,Pachyseris,1.45
HA-05A,35,CF,Montipora,1.33
HA-05A,35,CB,Unknown,7.2
HA-05A,40,CF,Pachyseris,5.36
HA-05A,40,CF,Pachyseris,4.15
HA-05A,40,CB,Heliopora,2.1
HA-05A,40,CB,Heliopora,3.45
HA-05A,40,CM,Porites,1.75
HA-05A,40,CB,Unknown,6
HA-05A,40,CB,Unknown,1.82
HA-05A,40,CB,Unknown,1.89
HA-05A,40,CB,Heliopora,0.45
HA-05A,45,CF,Pachyseris,6.04
HA-05A,45,CF,Pachyseris,5.23
HA-05A,45,CF,Pachyseris,3.2
HA-05A,45,CF,Pachyseris,2.89
HA-05A,45,CF,Pachyseris,2.44
HA-05A,45,CF,Pachyseris,2.05
HA-05A,45,CF,Pachyseris,2.3
HA-05A,45,CF,Pachyseris,1.83
HA-05A,45,CB,Unknown,2.13
HA-05A,50,CF,Pachyseris,11.2
HA-05A,50,CF,Pachyseris,3.19
HA-05A,50,CF,Pachyseris,5.87
HA-05A,55,CF,Pachyseris,1.74
HA-05A,55,CF,Pachyseris,0.53
HA-05A,55,CB,Acropora,5.01
HA-05A,55,CB,Acropora,1.8
HA-05A,55,CB,Acropora,2.3
HA-05A,55,CB,Acropora,0.46
HA-05A,55,CB,Unknown,8.97
HA-05A,55,CB,Unknown,3.01
HA-05A,55,CB,Acropora,8.22
HA-05A,60,CF,Pachyseris,0.89
HA-05A,60,CB,Unknown,1.13
HA-05A,60,CB,Unknown,0.55
HA-05A,60,CB,Unknown,0.41
HA-05A,60,CB,Unknown,0.59
HA-05A,60,CB,Acropora,5.35
HA-05A,60,CB,Acropora,8.55
HA-05A,60,CB,Acropora,3.11
HA-05A,60,CB,Acropora,3.8
HA-05A,60,CB,Acropora,2.18
HA-05A,60,CB,Acropora,2.38
HA-05A,60,CB,Acropora,0.81
HA-05A,60,CB,Acropora,1.25
HA-05A,65,CB,Acropora,3.78
HA-05A,65,CB,Acropora,3.94
HA-05A,65,CB,Acropora,1.82
HA-05A,65,CB,Acropora,1.63
HA-05A,65,CB,Acropora,1.43
HA-05A,65,CB,Acropora,0.7
HA-05A,65,CB,Acropora,1.09
HA-05A,70,CB,Acropora,11.75
HA-05A,70,CB,Acropora,0.87
HA-05A,70,CB,Acropora,5.08
HA-05A,70,CM,Porites,0.93
HA-05A,70,CB,Heliopora,1.11
HA-06A,5,CB,Montipora,3.48
HA-06A,10,CM,Goniastrea,212
HA-06A,15,CM,Goniastrea,137.9
HA-06A,20,CM,Goniastrea,1.51
HA-06A,20,CB,Unknown,0.47
HA-06A,25,CM,Unknown,0.24
HA-06A,30,CM,Goniastrea,92.99
HA-06A,30,CM,Goniastrea,6.62
HA-06A,30,CB,Montipora,0.45
HA-06A,30,CM,Goniastrea,1.88
HA-06A,30,CM,Goniastrea,0.83
HA-06A,30,CM,Unknown,1.11
HA-06A,35,CM,Dipsastraea,22.67
HA-06A,35,CM,Goniastrea,4.7
HA-06A,35,CB,Montipora,3.72
HA-06A,35,CE,Astreopora,2.9
HA-06A,40,CB,Montipora,0.61
HA-06A,40,CB,Montipora,5.96
HA-06A,40,CE,Turbinaria,2.62
HA-06A,40,CE,Turbinaria,13.46
HA-06A,40,CE,Turbinaria,2.19
HA-06A,45,CE,Turbinaria,2.35
HA-06A,45,CE,Turbinaria,1.99
HA-06A,45,CE,Turbinaria,2.61
HA-06A,45,CE,Turbinaria,4.6
HA-06A,45,CE,Turbinaria,7.9
HA-06A,50,CE,Astreopora,1.56
HA-06A,50,CS,Unknown,0.77
HA-06A,50,CS,Unknown,2.28
HA-06A,55,CS,Unknown,5.66
HA-06A,55,CS,Unknown,1.74
HA-06A,60,CB,Montipora,1.16
HA-06A,60,CB,Montipora,1.49
HA-06A,60,CB,Montipora,0.66
HA-06A,65,CB,Acropora,3.93
HA-06A,65,CE,Cyphastrea,2.83
HA-06A,65,CE,Cyphastrea,0.55
HA-06A,70,CS,Goniopora,5.11
HA-06A,70,CS,Goniopora,2.47
HA-06A,70,CS,Unknown,0.63
HA-06A,75,CF,Merulina,0.36
HA-06A,75,CB,Montipora,3.46
HA-06A,75,CB,Montipora,1.1
HA-06A,75,CS,Goniopora,0.93
HA-06A,75,CS,Goniopora,0.38
HA-06A,75,CB,Montipora,5.38
HA-06A,75,CB,Montipora,2.1
HA-06A,75,CB,Montipora,0.8
HA-06A,80,CS,Euphyllia,19.91
HA-06A,80,CB,Montipora,5.24
HA-06A,80,CB,Montipora,1.54
HA-06A,80,CB,Montipora,0.73
HA-06A,80,CE,Astreopora,0.99
HA-06A,85,CF,Merulina,4.82
HA-06A,85,CS,Euphyllia,30.64
HA-06A,85,CS,Euphyllia,6.87
HA-06A,85,CB,Unknown,3.63
HA-06A,85,CB,Unknown,4.07
HA-06A,85,CB,Unknown,1.55
HA-06A,85,CB,Unknown,1.55
HA-06A,90,CS,Montipora,26.88
HA-06A,90,CS,Montipora,12.28
HA-06A,90,CS,Montipora,4.16
HA-06A,90,CS,Montipora,10.83
HA-06A,90,CB,Unknown,2.48
HA-06A,90,CB,Unknown,0.3
HA-06A,95,CM,Porites,160.32
HA-06A,100,CM,Porites,32.86
HA-06A,105,CM,Porites,1.48
SM-04A,25,CB,Porites,3.56
SM-04A,35,CM,Goniastrea,0.68
SM-04A,35,CM,Goniastrea,0.32
SM-04A,35,CB,Porites,1.3
