Core,Site,AgeConsolidated500,AgeMin,AgeMax,DepthMin,DepthMax,Unknown,Goniopora,Dipsastraea,Montipora,Porites,Echinopora,Euphyllia,Acropora,Heliopora,Fungia,Merulina,Diploastrea,Tubastraea,Astreopora,Platygyra,Echinophyllia,Hydnophora,Pachyseris,Turbinaria,Pavona,Pectinia,Oxypora,Goniastrea,Cyphastrea,Podabacia,Favites,Pseudosiderastrea,Psammocora
CY01,CY,7500,7103,7120,5,95,0.015766751,0.10137127,0.335323989,0.019950931,0.495264269,0.009870861,0.009100591,0.011145134,0.002206204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,7000,6725,6971,5,30,0.038599947,0.776241524,0,0,0.14458881,0,0.040569719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY02,CY,7500,7020,7312,35,65,0,0,0,0.06412611,0,0,0,0.882460973,0,0.053412917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA02,HA,7500,7342,7487,5,150,0,0.017465489,0,0,0.795786858,0,0.006985091,0,0,0.014058531,0.002943125,0.162760906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,7500,7407,7496,5,45,0.167060502,0,0,0,0.490659414,0,0,0,0,0,0,0,0.015604797,0.326675286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA03,HA,8000,7515,7807,60,210,0,0.053989601,0,0.024004066,0.624131775,0.01394373,0.221431643,0,0,0,0.026219425,0,0.001837445,0.034442316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,HA,7500,7468,7493,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HA04,HA,8000,7570,7620,20,35,0,0,0,0,0.941688744,0,0,0,0,0,0,0,0.058311256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,SM,4500,4038,4482,10,100,0.178424249,0.077513285,0.197185772,0.17923761,0.101859885,0,0.082203666,0.026705346,0,0,0.012335972,0,0,0,0,0.046903807,0.021716734,0.018137946,0.046958031,0.010817699,0,0,0,0,0,0,0,0
SM01,SM,5000,4506,4959,105,200,0.023292725,0.093402539,0.120916266,0.002659574,0.621997255,0,0.046902883,0.005036033,0,0,0,0.085792725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM01,SM,5500,5035,5178,205,240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,SM,7500,7266,7469,15,55,0.26128076,0,0.134239872,0.10657319,0.408224721,0,0,0.089681457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM02,SM,8000,7521,7693,65,100,0.01445369,0,0,0,0.98554631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM03,SM,8000,7537,7913,20,215,0.004461745,0,0,0,0.907673179,0,0,0,0,0,0,0,0,0,0.087865076,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,7000,6599,6998,5,45,0.173640674,0.352576749,0,0.062021943,0.141522168,0,0.237704634,0.012771259,0,0,0,0,0.019762572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY03,CY,7500,7045,7470,50,95,0.05648076,0.681241585,0,0,0.18621997,0,0.009106371,0,0.003525618,0,0,0,0,0,0,0,0,0.063425696,0,0,0,0,0,0,0,0,0,0
CY03,CY,8000,7516,7761,100,150,0,0.792751982,0,0,0.201290743,0,0.002994151,0,0,0,0,0,0,0,0,0,0,0.002963124,0,0,0,0,0,0,0,0,0,0
HA05,HA,7500,7180,7300,10,70,0.094030625,0,0,0.012664792,0.010726861,0,0,0.211562082,0.027840707,0,0,0,0,0,0,0,0,0.625979201,0,0,0.005158719,0.012037012,0,0,0,0,0,0
HA06,HA,7500,7316,7487,5,40,0.003511412,0,0.043738303,0.027435319,0,0,0,0,0,0,0,0,0,0.005595107,0,0,0,0,0.035249175,0,0,0,0.884470684,0,0,0,0,0
HA06,HA,8000,7511,7819,45,105,0.061970698,0.022340613,0,0.195536903,0.489181514,0,0.144296736,0.009876109,0,0,0.013017365,0,0,0.006408162,0,0,0,0,0.048877943,0,0,0,0,0.008493956,0,0,0,0
SM04,SM,6500,6443,6492,25,50,0.029752789,0.016517173,0,0.014220083,0.928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010938525,0,0,0,0,0
SM04,SM,7000,6502,6829,55,215,0.003087823,0.000414901,0.001691521,0.010699667,0.560946613,0,0.244648172,0.018917905,0,0,0.085900535,0,0,0,0,0,0,0,0,0.051926499,0.011824688,0,0,0.009941674,0,0,0,0
SM05,SM,7500,7103,7148,5,50,0.000878489,0.205885876,0,0.021223496,0.130196063,0,0.020105419,0.00137763,0,0,0.002695364,0,0,0,0.009423791,0,0,0,0.021762568,0,0,0,0.558379587,0,0.007646847,0.019706105,0.000718764,0
SM06,SM,7500,7391,7498,25,75,0.060895812,0,0,0.016147416,0.833639395,0,0.065750591,0,0.008200355,0,0,0,0,0.01266464,0,0,0,0,0.00270179,0,0,0,0,0,0,0,0,0
SM06,SM,8000,7510,7894,80,260,0.008272451,0.837301837,0,0,0.131197304,0,0.004396085,0,0,0.004584772,0,0,0,0.006378957,0,0,0,0,0.007868594,0,0,0,0,0,0,0,0,0
