Core,Depth,2000,500,125,0
CY01,5,54.47154472,27.22067751,11.65377778,6.654
CY01,15,28.17344961,44.55511143,13.5409048,13.73053416
CY01,25,28.94078399,35.01539616,14.59953294,21.44428691
CY01,35,23.94289451,48.86897123,13.29366173,13.89447254
CY01,45,15.84661585,54.39897528,13.66487907,16.0895298
CY01,55,22.7027027,55.61315257,9.836807672,11.84733705
CY01,65,19.96396396,56.52415063,11.66168541,11.8502
CY01,75,21.95638365,56.58560407,9.865989414,11.59202287
CY01,85,20.01439885,53.83621214,9.773860331,16.37552868
CY01,95,17.66707921,42.71731023,12.38922772,27.22638284
CY01,105,0.506982122,7.087556702,22.04126657,70.35050431
CY01,115,0.348095146,2.829265132,26.55532199,70.26246567
CY01,125,0.54813035,3.915991891,23.59218651,71.96468764
CY01,135,0.401348531,1.67763686,24.54683818,73.35471986
CY01,145,0.484282073,14.93194732,24.22325658,60.33944775
CY01,155,0.332627759,18.08921379,19.28018748,62.30630178
CY01,165,0.665131747,3.948153833,21.80404025,73.57654217
CY01,175,0.617828773,2.162400706,21.853563,75.34823864
CY01,185,0.439367311,2.438488576,22.15321837,74.96892575
CY01,195,0.551577318,1.538610412,18.46834043,79.44002419
CY01,205,0.609805675,3.455565493,22.59586145,73.35556387
CY01,215,0.347279643,3.117248222,19.58744419,76.92316851
CY01,225,0.371900826,3.860847107,24.80766942,70.94703306
CY01,235,0.782977155,8.754755895,31.39901437,59.06876842
CY01,245,1.99277132,11.35335548,24.46017486,62.19530429
CY01,255,2.431888828,10.24398062,22.50491772,64.83063631
CY01,265,0.605012965,6.260684529,19.88383578,73.28008816
CY01,275,3.058546738,13.90492806,24.3070523,58.71900597
CY01,285,7.213992803,19.26474684,18.47104695,55.04487823
CY01,295,12.51200946,15.19774961,11.49497155,60.791467
CY01,305,2.622536989,1.852152023,0.73203492,94.79369259
CY01,315,0,0.788211991,0.648668213,98.55343624
CY01,325,1.568281938,1.54373627,0.669649339,96.20935683
CY01,335,19.96827381,12.19377974,3.749788011,64.09782291
CY01,344,9.5741613,7.533065462,11.78488513,71.0862482
CY02,5,4.661325564,37.50910415,43.48142753,14.34814275
CY02,15,2.076711168,46.68361941,35.07098962,16.16867981
CY02,25,2.287222344,45.04068617,34.00043985,18.67165164
CY02,35,2.049507586,52.91455949,31.94037796,13.09555496
CY02,45,0.982704403,53.6163522,31.32861635,14.07232704
CY02,55,1.41490228,57.36970684,27.75855049,13.45684039
CY02,65,1.151343234,50.49224095,32.22092441,16.13549141
CY02,75,0.605107104,15.41812901,13.07031345,70.90645044
CY02,85,0,0.753608379,3.691403755,95.55498787
CY02,95,0,0.610119048,3.348214286,96.04166667
CY02,105,0.321825629,10.83967232,7.796957285,81.04154476
CY02,115,0,1.437142458,3.474257011,95.08860053
CY02,125,0.03082139,0.493142241,3.49822777,95.9778086
CY02,135,0,3.381948848,4.544493765,92.07355739
CY02,145,0,0.022677451,1.322851312,98.65447124
CY02,155,0.016204829,0.372711068,3.565062389,96.04602171
CY02,165,0,0.375117224,5.829946858,93.79493592
CY02,175,0.091642229,0.036656891,6.708211144,93.16348974
CY02,185,0.615384615,0.744939271,8.145748988,90.49392713
CY02,195,0.124671007,1.1774484,10.6385926,88.05928799
CY02,205,0.249737119,2.313354364,19.21661409,78.22029443
CY02,215,0.203510557,4.795217502,37.02620198,57.97506996
CY02,225,1.000860956,9.674989238,16.71330176,72.61084804
CY02,235,0.88997555,12.0391198,24.98777506,62.08312958
CY02,245,2.931754199,8.474905349,17.52257062,71.07076983
CY02,256,11.24357917,12.19481261,18.89783753,57.66377069
CY03,5,2.319935258,68.54599407,24.92581602,4.208254653
CY03,15,1.59241367,64.78797638,25.37126498,8.248344963
CY03,25,1.006949369,60.48787406,26.71961424,11.78556233
CY03,35,0.911594341,62.09286867,21.93523882,15.06029817
CY03,45,2.283333333,65.2,26.93333333,5.583333333
CY03,55,0.701016474,66.94707326,28.19254586,4.159364412
CY03,65,1.544622426,66.69527079,23.48398169,8.276125095
CY03,75,1.604686704,59.57717779,23.48446256,15.33367295
CY03,85,2.688172043,59.95619275,25.88610115,11.46953405
CY03,95,1.944510315,49.51387242,21.98245198,26.55916528
CY03,105,0.023457659,5.090311987,8.820079756,86.0661506
CY03,115,0.029368576,9.897209985,13.1277533,76.94566814
CY03,125,0.111457869,4.034774855,9.36246099,86.49130629
CY03,135,0.116414435,5.791618161,14.05704307,80.03492433
CY03,145,0.014411298,3.991929673,11.57227266,84.42138637
CY03,153,0,7.065217391,14.13043478,78.80434783
HA02,5,17.56801049,67.12612324,8.249552933,7.05631334
HA02,15,22.42562929,57.75404729,11.8515553,7.968768116
HA02,25,26.08473711,54.13544461,10.65075651,9.129061766
HA02,35,16.4065795,60.45558161,11.4821628,11.65567609
HA02,45,21.76804542,54.87418816,9.246351825,14.1114146
HA02,55,16.81547619,53.8082996,11.03967832,18.33654588
HA02,65,24.38472419,50.6135976,8.213883168,16.78779505
HA02,75,22.55049241,51.80672442,9.318787181,16.32399599
HA02,85,10.1194354,52.59059392,10.83000782,26.45996287
HA02,95,13.61848574,55.22072566,8.25760177,22.90318682
HA02,105,18.08580858,13.53367657,4.546481848,63.834033
HA02,115,32.79643592,25.47977382,9.066127485,32.65766278
HA02,125,35.05154639,24.61161762,16.52680037,23.81003561
HA02,135,17.11927583,9.603298722,8.25546459,65.02196086
HA02,145,1.793548387,13.71877755,27.55201716,56.9356569
HA02,155,25.62380038,38.46671401,15.97505758,19.93442802
HA03,5,41.52284725,49.01595949,5.604761242,3.856432018
HA03,15,32.6198799,47.19864835,9.729124532,10.45234723
HA03,25,21.4934465,53.00493355,10.45772897,15.04389098
HA03,35,15.42971992,61.29136591,9.866246032,13.41266814
HA03,45,17.0818742,60.78270229,7.69323608,14.44218744
HA03,55,21.54888128,50.80312298,8.076180969,19.57181477
HA03,65,22.72203086,53.12952104,8.541692066,15.60675603
HA03,75,19.90272763,63.04082331,5.743561066,11.31288798
HA03,85,15.83075724,38.12146319,5.397814076,40.64996549
HA03,95,21.09974921,57.54672145,3.414018588,17.93951075
HA03,105,15.02657024,46.19742814,8.530985431,30.24501619
HA03,115,11.85189976,15.99980777,10.88415909,61.26413339
HA03,125,11.10195049,15.75085893,11.8893089,61.25788168
HA03,135,22.60759935,17.57005263,7.90626147,51.91608655
HA03,145,8.13760533,33.83101809,13.88319394,44.14818264
HA03,155,10.30106751,37.35611444,9.168524495,43.17429356
HA03,165,13.31130115,33.63601853,7.551469456,45.50121086
HA03,175,16.52241877,42.77906474,9.318262319,31.38025417
HA03,185,38.81445913,23.14497105,5.421182941,32.61938688
HA03,195,33.41422322,32.45438946,7.135277189,26.99611014
HA03,205,16.03869493,39.07796571,7.601076216,37.28226314
HA04,5,16.64543033,71.62573706,7.320160199,4.40867242
HA04,15,22.43878866,57.95063853,10.42352159,9.187051224
HA04,25,36.43334158,41.03063072,11.25890378,11.27712392
HA05,5,1.003009027,61.70679037,31.45625878,5.83225677
HA05,15,1.858958983,64.04508755,30.45863037,3.636186136
HA05,25,1.971945517,45.20231246,27.85135597,24.98769211
HA05,35,1.718351457,37.56691234,31.61132837,29.08893945
HA05,45,1.492537313,62.069233,33.79549959,2.6427301
HA05,55,1.238850347,38.2380005,27.45448216,33.05540634
HA05,65,0.887335305,37.77788115,25.88509277,35.46335036
HA05,75,11.85584372,21.41605254,14.35675312,52.36273493
HA05,85,12.69474899,38.66126947,22.82913445,25.81731679
HA05,95,17.05539359,39.88116618,14.20037901,28.85540816
HA05,105,18.69443145,26.46009827,14.04321479,40.80844408
HA05,115,12.18734674,26.89419323,15.73870034,45.17563021
HA05,125,8.100769347,18.83924574,15.58765877,57.46491175
HA05,135,2.22614841,18.07027797,20.31316372,59.39257951
HA05,145,3.829496239,13.04882,13.80660892,69.30912697
HA05,155,0.312366889,8.359520801,9.253143547,82.0656794
HA05,165,0.701467669,8.128215923,8.748156735,82.85439277
HA05,175,0.510790448,4.516244413,5.995903461,88.98500192
HA05,185,0,1.434494332,2.39179684,96.16424886
HA05,195,0.009529255,1.406565657,0.789809415,97.77485992
HA05,205,0.098902186,0.26308377,0.35738107,99.31038671
HA05,215,0.064260469,0.100961765,0.161543322,99.68316804
HA05,225,0.009519277,0.357889576,0.435141361,99.19744979
HA05,233,0.461112819,2.030516446,0.402533046,97.09595758
HA06,5,0.04656216,40.2607481,39.26742201,20.42526773
HA06,15,0.460526316,40.13157895,36.44736842,22.96052632
HA06,25,1.203678658,52.65079794,27.81985394,18.32566946
HA06,35,0.819672131,40.36065574,31.90163934,26.91803279
HA06,45,0.357382176,42.37212419,29.84141166,27.42908197
HA06,55,0.345894775,43.21864191,29.52849081,26.90697251
HA06,65,0.440251572,49.93710692,29.0408805,20.58176101
HA06,75,0.459392945,46.00492207,31.94421657,21.59146842
HA06,85,1.695724863,32.83974206,27.51373298,37.9508001
HA06,95,15.5261916,19.14818311,24.63426144,40.69136385
HA06,105,8.933532806,16.8198333,17.36482154,56.88181235
HA06,115,9.03721205,16.53868872,25.65859421,48.76550502
HA06,125,11.69836356,21.15214507,23.65103936,43.49845201
SM01,5,0,60.65801923,24.78211538,13.17738462
SM01,15,0,49.09686533,15.77060977,35.13252489
SM01,25,0,48.74835895,18.00359125,33.24863898
SM01,35,0,42.96350819,15.20390426,41.83258755
SM01,45,0,44.03035596,16.58965627,39.3793682
SM01,55,0,40.75895433,17.58895053,41.60112266
SM01,65,0,56.32776119,11.46824026,32.20399854
SM01,75,0,58.484821,13.18448513,28.29626088
SM01,85,0,55.78463518,13.6170114,30.10570765
SM01,95,0,29.97588148,10.55141138,59.47270714
SM01,105,0,37.55415444,13.35836293,49.0176139
SM01,115,0,40.30595778,5.966955145,46.62602111
SM01,125,0,28.50867868,11.72977265,59.76081519
SM01,135,0,33.44146561,14.71041655,51.81970951
SM01,145,0,31.58531052,9.587448666,58.81790612
SM01,155,0,35.71189025,15.33270272,48.93458587
SM01,165,0,33.59060971,11.29872691,55.11043258
SM01,175,0,35.02371876,9.737428485,55.24016862
SM01,185,0,22.14115023,11.67431925,66.18453052
SM01,195,0,23.92912486,16.51077345,59.5338322
SM01,205,0,29.15785062,16.76116067,54.08098872
SM01,211,0,25.16169804,13.35159838,61.48746401
SM02,5,0.157515752,2.763793879,14.30520252,82.77544104
SM02,15,4.675817431,66.56354559,9.316444593,19.44419239
SM02,25,28.66831073,52.82833292,7.25584217,11.24731443
SM02,35,29.92099323,53.82639842,9.720910835,6.525802483
SM02,45,35.7670578,52.38089092,8.232649573,3.616495726
SM02,55,17.56575416,72.90605475,6.135770263,3.389103596
