Core,Depth,2000,500,125,0
CY-01A,5,54.47154472,27.22067751,11.65377778,6.654
CY-01A,10,24.1956242,49.61403552,14.40634646,11.78399382
CY-01A,15,28.17344961,44.55511143,13.5409048,13.73053416
CY-01A,20,16.75075681,43.88967575,20.61807736,18.74149008
CY-01A,25,28.94078399,35.01539616,14.59953294,21.44428691
CY-01A,30,23.84595766,38.068861,20.63308799,17.45209334
CY-01A,35,23.94289451,48.86897123,13.29366173,13.89447254
CY-01A,40,19.07656492,54.8880538,13.05865158,12.97672969
CY-01A,45,15.84661585,54.39897528,13.66487907,16.0895298
CY-01A,50,31.67785235,44.79156779,14.06118658,9.469393289
CY-01A,55,22.7027027,55.61315257,9.836807672,11.84733705
CY-01A,60,21.27452043,58.64815953,9.427925003,10.64939504
CY-01A,65,19.96396396,56.52415063,11.66168541,11.8502
CY-01A,70,21.56862745,51.80124431,11.62943765,15.00069059
CY-01A,75,21.95638365,56.58560407,9.865989414,11.59202287
CY-01A,80,18.13633521,60.66449969,10.479197,10.71996811
CY-01A,85,20.01439885,53.83621214,9.773860331,16.37552868
CY-01A,90,22.03795672,38.70026933,9.787851987,29.47392196
CY-01A,95,17.66707921,42.71731023,12.38922772,27.22638284
CY-01A,100,0.148367953,19.46446234,40.38457821,40.00259149
CY-01A,105,0.506982122,7.087556702,22.04126657,70.35050431
CY-01A,110,0.417188152,17.37171464,30.54977722,51.66131998
CY-01A,115,0.348095146,2.829265132,26.55532199,70.26246567
CY-01A,120,0.045558087,2.277904328,21.12376614,76.55277145
CY-01A,125,0.54813035,3.915991891,23.59218651,71.96468764
CY-01A,130,0.745712155,2.502278565,18.51023283,78.24177645
CY-01A,135,0.401348531,1.67763686,24.54683818,73.35471986
CY-01A,140,0.11026878,38.27015851,28.40110269,33.21847002
CY-01A,145,0.484282073,14.93194732,24.22325658,60.33944775
CY-01A,152,0.146181733,44.18107414,21.45550754,34.22229856
CY-01A,155,0.332627759,18.08921379,19.28018748,62.30630178
CY-01A,160,0.272201429,37.99761824,24.14086424,37.58931609
CY-01A,165,0.665131747,3.948153833,21.80404025,73.57654217
CY-01A,170,0.877047824,2.225715704,15.26559656,81.63163991
CY-01A,175,0.617828773,2.162400706,21.853563,75.34823864
CY-01A,180,0.863734515,2.04568701,10.97852029,86.11205819
CY-01A,185,0.439367311,2.438488576,22.15321837,74.96892575
CY-01A,190,0.447278264,2.150742292,20.07042254,77.33155691
CY-01A,195,0.551577318,1.538610412,18.46834043,79.44002419
CY-01A,200,1.037321006,2.886458451,36.20475815,59.8714624
CY-01A,205,0.609805675,3.455565493,22.59586145,73.35556387
CY-01A,210,0.201966983,2.239199157,15.09483667,82.46399719
CY-01A,215,0.347279643,3.117248222,19.58744419,76.92316851
CY-01A,220,0.158202816,3.812687866,17.09381427,78.93529505
CY-01A,225,0.371900826,3.860847107,24.80766942,70.94703306
CY-01A,230,0.446509933,6.734098779,26.25296155,66.56642974
CY-01A,235,0.782977155,8.754755895,31.39901437,59.06876842
CY-01A,240,0.498900727,7.940131913,31.68442415,59.87654321
CY-01A,245,1.99277132,11.35335548,24.46017486,62.19530429
CY-01A,250,1.654219867,11.01742552,22.94226291,64.3860917
CY-01A,255,2.431888828,10.24398062,22.50491772,64.83063631
CY-01A,260,1.424446583,8.74879692,19.50914341,70.31761309
CY-01A,265,0.605012965,6.260684529,19.88383578,73.28008816
CY-01A,270,2.012922465,12.11895295,19.96355202,65.90457256
CY-01A,275,3.058546738,13.90492806,24.3070523,58.71900597
CY-01A,280,3.333647236,16.15029664,20.32206422,60.1939919
CY-01A,285,7.213992803,19.26474684,18.47104695,55.04487823
CY-01A,290,9.105905642,20.64225228,19.65247993,50.59936215
CY-01A,295,12.51200946,15.19774961,11.49497155,60.791467
CY-01A,300,1.929797903,3.380945145,3.502507218,91.18674973
CY-01A,305,2.622536989,1.852152023,0.73203492,94.79369259
CY-01A,310,0.113715333,0.808642365,2.842883315,96.23475899
CY-01A,315,0,0.788211991,0.648668213,98.55343624
CY-01A,320,0.534731046,1.466539602,1.80008471,96.19864464
CY-01A,325,1.568281938,1.54373627,0.669649339,96.20935683
CY-01A,330,0.357483317,2.55600572,3.157769304,93.92874166
CY-01A,335,19.96827381,12.19377974,3.749788011,64.09782291
CY-01A,340,17.30024145,9.916334438,11.2415071,61.54191701
CY-01A,344,9.5741613,7.533065462,11.78488513,71.0862482
CY-02A,5,4.661325564,37.50910415,43.48142753,14.34814275
CY-02A,10,2.781669001,51.13067841,34.1604963,11.92715629
CY-02A,15,2.076711168,46.68361941,35.07098962,16.16867981
CY-02A,20,1.389603706,45.31652084,39.26917138,14.02470407
CY-02A,25,2.287222344,45.04068617,34.00043985,18.67165164
CY-02A,30,2.443522361,48.77823882,30.47487321,18.30336561
CY-02A,35,2.049507586,52.91455949,31.94037796,13.09555496
CY-02A,40,1.506186122,50.88757396,32.6788596,14.92738031
CY-02A,45,0.982704403,53.6163522,31.32861635,14.07232704
CY-02A,50,1.658427683,51.88965077,32.4828576,13.96906395
CY-02A,55,1.41490228,57.36970684,27.75855049,13.45684039
CY-02A,60,1.184352195,58.72712047,28.10144754,11.98707979
CY-02A,65,1.151343234,50.49224095,32.22092441,16.13549141
CY-02A,70,1.203689229,42.2854463,30.48303892,26.02782554
CY-02A,75,0.605107104,15.41812901,13.07031345,70.90645044
CY-02A,80,0,0.718085106,3.630319149,95.65159574
CY-02A,85,0,0.753608379,3.691403755,95.55498787
CY-02A,90,0.046332046,0.741312741,2.44015444,96.77220077
CY-02A,95,0,0.610119048,3.348214286,96.04166667
CY-02A,100,0.024743288,2.795991587,4.787826302,92.39143882
CY-02A,105,0.321825629,10.83967232,7.796957285,81.04154476
CY-02A,110,0.050955414,3.337579618,3.936305732,92.67515924
CY-02A,115,0,1.437142458,3.474257011,95.08860053
CY-02A,120,0.026773762,1.767068273,5.408299866,92.7978581
CY-02A,125,0.03082139,0.493142241,3.49822777,95.9778086
CY-02A,128,0.012517211,0.475654024,1.226686694,98.28514207
CY-02A,132,0.710262062,18.49130541,12.83370071,67.96473181
CY-02A,135,0,3.381948848,4.544493765,92.07355739
CY-02A,140,0.100647017,0.603882099,3.235082674,96.06038821
CY-02A,145,0,0.022677451,1.322851312,98.65447124
CY-02A,150,0.303951368,17.0212766,82.67477204,0
CY-02A,155,0.016204829,0.372711068,3.565062389,96.04602171
CY-02A,160,0,0.510013683,3.45814156,96.03184476
CY-02A,165,0,0.375117224,5.829946858,93.79493592
CY-02A,170,0.213252094,0.92916984,4.341203351,94.51637471
CY-02A,175,0.091642229,0.036656891,6.708211144,93.16348974
CY-02A,180,0.090036014,0.420168067,5.927370948,93.56242497
CY-02A,185,0.615384615,0.744939271,8.145748988,90.49392713
CY-02A,190,0.991360997,1.444554596,10.63588727,86.92819714
CY-02A,195,0.124671007,1.1774484,10.6385926,88.05928799
CY-02A,200,0.081938429,2.493269343,16.57497366,80.84981856
