Code,Location,Site,Day,Month,Year,Depth,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown,Total
CY-N-D3-2020-3-30,Cyrene Reef,CY-N,30,3,2020,3,0,0,0,0,0,0,0,0,0,6,0,9.8,0,0,0,31.8,0,0,4,10.8,0,0,0,0,0,0,0,0,1.6,0,15,0,0,0,0,0,13.2,0,0,0,2.8,0,29.8,0,21.6,0,4,0,0,1,0,0,0,1,0,0,0,0,29,0,181.4
CY-N-D0-1989-3-1,Cyrene Reef,CY-N,1,3,1989,0,0,0,0,0,0,0,0,0,0,5,7.5,2,0,0,3,7,0,0,14.5,0,0,0,0,0,0,0,5.5,0,5.25,0,6.25,0,3.5,0,0,0,0,0,0,0,1.25,1,16.25,0,7.25,0,0,0,0,5.75,0,0,0,0,0,0,4.25,3.5,10.5,0,109.25
CY-N-D0-1991-11-20,Cyrene Reef,CY-N,20,11,1991,0,0,0,0,0,0,0,0,0,7.4,3.8,0,1.2,4.2,1.2,0,9.4,0,0,0,0,0,0,4,3.2,0,0,0,0,2,0,0,0,7.2,0,0,0,0,0,0,0,1.8,0,32.4,0,0,0,0,0,0,0,0,3.6,0,0,0,0,2,0,8.4,0,91.8
CY-N-D3-1991-11-20,Cyrene Reef,CY-N,20,11,1991,3,0,0,0,0,0,0,0,0,5.75,0,0,0.75,0,0,0,7.5,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,31.75
CY-N-D6-1991-11-20,Cyrene Reef,CY-N,20,11,1991,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25
CY-N-D10-1987-5-25,Cyrene Reef,CY-N,25,5,1987,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.66666667,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.33333333,0,8.333333333,151
CY-N-D3-1986-4-29,Cyrene Reef,CY-N,29,4,1986,3,0,9,0,0,0,0,0,0,0,0,213,6,19.6,32,2,5,0,0,4,46,0,0,2,0,0,0,0,0,16,0,4,0,15,0,0,0,0,0,0,10.4,12,8,26,0,26,6,0,0,0,2,0,6,0,0,0,0,0,0,0,0,470
CY-S-D0-1989-3-1,Cyrene Reef,CY-S,1,3,1989,0,0,0,0,5.2,6,0,0,3,0,2,11.4,28.2,0,7.6,2.8,26.6,0,7.4,36.6,1.4,0,0,7,14.2,0,1.2,0,0,7.6,0,2.6,0,31.8,0,0,27.2,18.8,0,0,4,2.6,3.6,75.8,0,20.6,4.8,0,0,0,9.8,0,5.6,2,0,0,0,0,0,3.4,0,380.8
CY-S-D3-1986-5-2,Cyrene Reef,CY-S,2,5,1986,3,0,0,0,0,0,0,0,0,0,1.6,0,40.6,35,60,22,166,0,29.2,43.8,23.8,5,17,0,26.2,0,0,0,12,1,0,33.6,0,117.4,0,0,19.6,0,0,0,21.6,38.8,4,106.8,2,58.6,6,0,0,0,24.8,0,43,0,0,0,0,0,0,1.8,0,961.2
CY-S-D2.5-2018-7-9,Cyrene Reef,CY-S,9,7,2018,2.5,0,0,0,3.6,0,0,0,1,0,0,33.2,26,2.8,9.4,0,42,0,2.6,7.8,6.4,0,0,0,0,0,2.6,0,0,5.8,0,17.8,0,12.6,0,0,0,0,0,0,0,23.4,2.6,16.8,0,55.6,2,0,0,0,0,0,4.8,0,0.8,0,3.8,0,0,16.2,0,299.6
