Code,Location,Site,Day,Month,Year,Depth,Replicate,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown,Total
CY-N-D3-2020-3-30-T1,Cyrene,CY-N,30,3,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,54,0,75,0,20,0,0,0,0,0,0,5,0,0,0,0,28,0,263
CY-N-D3-2020-3-30-T2,Cyrene,CY-N,30,3,2020,3,2,0,0,0,0,0,0,0,0,0,30,0,23,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,190
CY-N-D3-2020-3-30-T3,Cyrene,CY-N,30,3,2020,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,33,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,0,181
CY-N-D3-2020-3-30-T4,Cyrene,CY-N,30,3,2020,3,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,57,0,0,0,21,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,34,0,0,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,209
CY-N-D3-2020-3-30-T5,Cyrene,CY-N,30,3,2020,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
CY-N-D0-1989-3-1-T1,Cyrene Reef,CY-N,1,3,1989,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,12,23,0,0,33,0,0,0,0,0,0,0,22,0,21,0,10,0,14,0,0,0,0,0,0,0,0,4,53,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,24,0,282
CY-N-D0-1989-3-1-T3,Cyrene Reef,CY-N,1,3,1989,0,3,0,0,0,0,0,0,0,0,0,0,30,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,72
CY-N-D0-1989-3-1-T4,Cyrene Reef,CY-N,1,3,1989,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,54
CY-N-D0-1989-3-1-T5,Cyrene Reef,CY-N,1,3,1989,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,29
CY-N-D0-1991-11-20-T1,Cyrene Reef,CY-N,20,11,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
CY-N-D0-1991-11-20-T2,Cyrene Reef,CY-N,20,11,1991,0,2,0,0,0,0,0,0,0,0,37,19,0,0,0,6,0,32,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,198
CY-N-D0-1991-11-20-T3,Cyrene Reef,CY-N,20,11,1991,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,71
CY-N-D0-1991-11-20-T4,Cyrene Reef,CY-N,20,11,1991,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
CY-N-D0-1991-11-20-T5,Cyrene Reef,CY-N,20,11,1991,0,5,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,0,126
CY-N-D3-1991-11-20-T1,Cyrene Reef,CY-N,20,11,1991,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
CY-N-D3-1991-11-20-T2,Cyrene Reef,CY-N,20,11,1991,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,40
CY-N-D3-1991-11-20-T4,Cyrene Reef,CY-N,20,11,1991,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
CY-N-D3-1991-11-20-T5,Cyrene Reef,CY-N,20,11,1991,3,5,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
CY-N-D6-1991-11-20-T2,Cyrene Reef,CY-N,20,11,1991,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
CY-N-D6-1991-11-20-T3,Cyrene Reef,CY-N,20,11,1991,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
CY-N-D6-1991-11-20-T4,Cyrene Reef,CY-N,20,11,1991,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
